epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73852,0.73282,3.41419,0.9262,0.005,0.6,0.01033,0.00637,0.63475,3.20801,0.82412,8e-05,8e-05,8e-05
2,2.73183,0.79395,3.41856,0.99636,0.00567,0.68,0.04763,0.02604,0.63056,3.1796,0.79916,0.000176436,0.000176436,0.000176436
3,3.5792,0.81492,3.08487,0.89797,0.00567,0.68,0.32138,0.18158,0.63943,3.11038,0.78893,0.000268912,0.000268912,0.000268912
4,4.26945,0.95071,2.29917,0.92203,0.00567,0.68,0.34236,0.20076,0.65633,3.07929,0.81112,0.000357428,0.000357428,0.000357428
5,4.96869,0.73458,1.7497,0.8974,0.00567,0.68,0.16251,0.10577,0.7777,3.04576,0.88887,0.000441984,0.000441984,0.000441984
6,5.59958,0.72553,1.31672,0.84874,0.00567,0.68,0.12265,0.08168,0.83262,3.04873,0.98005,0.00052258,0.00052258,0.00052258
7,6.25168,0.68872,1.33895,0.88762,0.00567,0.68,0.22032,0.15402,0.84041,2.99829,0.93189,0.000599216,0.000599216,0.000599216
8,6.90428,0.74648,1.03138,0.89686,0.00533,0.64,0.11758,0.0972,0.78598,3.07039,0.89221,0.000671892,0.000671892,0.000671892
9,7.56475,0.686,1.38933,0.89503,0.00533,0.64,0.18707,0.15681,0.68872,3.06186,0.8517,0.000740608,0.000740608,0.000740608
10,8.19113,0.80213,1.33397,0.9169,0.00567,0.68,0.36374,0.30165,0.85172,2.82986,0.88928,0.000805364,0.000805364,0.000805364
11,8.81624,0.81856,1.2948,0.92218,0.01752,0.56,0.53891,0.45304,0.74978,2.80452,0.86704,0.00086616,0.00086616,0.00086616
12,9.5601,0.81439,1.13515,0.9071,0.00567,0.68,0.44546,0.40151,0.71414,2.84618,0.84452,0.000922996,0.000922996,0.000922996
13,10.1832,0.67324,1.0787,0.87894,0.01581,0.56,0.28562,0.24099,0.77438,2.81564,0.85519,0.000975872,0.000975872,0.000975872
