epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.25624,0.64508,3.48103,0.90879,0.00556,0.55556,0.00984,0.00659,0.55191,3.10981,0.81893,4e-05,4e-05,4e-05
2,2.05542,0.67127,3.35492,0.92624,0.00611,0.61111,0.09117,0.05926,0.61157,3.00668,0.80076,9.802e-05,9.802e-05,9.802e-05
3,2.60924,0.75054,3.29359,0.91286,0.00667,0.66667,0.24929,0.21326,0.57991,2.93635,0.79712,0.000153664,0.000153664,0.000153664
4,3.31097,0.61344,2.94281,0.86138,0.00667,0.66667,0.3087,0.2354,0.54273,2.94687,0.78842,0.000206932,0.000206932,0.000206932
5,3.78911,0.62843,2.56408,0.85619,0.00667,0.66667,0.35142,0.29964,0.53621,2.89184,0.7937,0.000257824,0.000257824,0.000257824
6,4.30002,0.82863,2.3606,0.88928,0.00667,0.66667,0.43657,0.29193,0.68201,2.87305,0.82455,0.00030634,0.00030634,0.00030634
7,4.77344,0.73695,1.72178,0.86872,0.00667,0.66667,0.46351,0.32263,0.72386,2.81868,0.81232,0.00035248,0.00035248,0.00035248
8,5.25218,0.76227,1.44285,0.85575,0.00667,0.66667,0.3863,0.2983,0.72095,2.79006,0.81555,0.000396244,0.000396244,0.000396244
9,5.70532,0.70282,1.4409,0.86692,0.00667,0.66667,0.36335,0.27148,0.6862,2.8052,0.80978,0.000437632,0.000437632,0.000437632
10,6.1774,0.67631,1.35833,0.88275,0.00667,0.66667,0.35879,0.26709,0.699,2.73,0.81251,0.000476644,0.000476644,0.000476644
11,6.6431,0.71632,1.419,0.88692,0.00667,0.66667,0.31792,0.2247,0.72698,2.70824,0.81152,0.00051328,0.00051328,0.00051328
12,7.10024,0.70877,1.52159,0.86765,0.00667,0.66667,0.33888,0.27211,0.67029,2.71272,0.80955,0.00054754,0.00054754,0.00054754
13,7.63671,0.65156,1.35789,0.86796,0.00667,0.66667,0.37514,0.32441,0.73752,2.74693,0.84504,0.000579424,0.000579424,0.000579424
14,8.09445,0.63691,1.54533,0.87434,0.00667,0.66667,0.35237,0.28978,0.75391,2.77487,0.87709,0.000608932,0.000608932,0.000608932
15,8.56986,0.62657,1.29605,0.84915,0.00667,0.66667,0.35237,0.28978,0.75391,2.77487,0.87709,0.000636064,0.000636064,0.000636064
16,9.05303,0.64017,1.02405,0.87208,0.00667,0.66667,0.47801,0.38977,0.71994,2.72648,0.8579,0.00066082,0.00066082,0.00066082
17,9.51223,0.61185,1.13122,0.81986,0.00667,0.66667,0.60428,0.50579,0.74198,2.69335,0.85839,0.0006832,0.0006832,0.0006832
18,9.96447,0.63952,1.1631,0.86162,0.00667,0.66667,0.60428,0.50579,0.74198,2.69335,0.85839,0.000703204,0.000703204,0.000703204
19,10.4282,0.6309,1.10938,0.84738,0.00667,0.66667,0.61716,0.51261,0.75422,2.63939,0.86844,0.000720832,0.000720832,0.000720832
20,10.8912,0.58616,1.17828,0.86152,0.01898,0.62357,0.61714,0.53223,0.71889,2.55269,0.88287,0.000736084,0.000736084,0.000736084
21,11.3556,0.59281,1.1667,0.85307,0.01898,0.62357,0.61714,0.53223,0.71889,2.55269,0.88287,0.00074896,0.00074896,0.00074896
22,11.9149,0.57277,1.16244,0.87463,0.56452,0.61111,0.61713,0.56683,0.654,2.43723,0.86249,0.00075946,0.00075946,0.00075946
